                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.077,                 3.4156,                  1.188,                0.23619,                 0.7845,                0.47097,                0.42586,                0.59564,                  7.219,                0.94405,             0.00020312,             0.00020312,             0.00020312
                      2,                0.99438,                 2.4357,                 1.0986,                0.21321,                0.56078,                0.41252,                0.37058,                0.63684,                 3.1201,                0.93616,             0.00040331,             0.00040331,             0.00040331
                      3,                0.99579,                 2.0291,                 1.1015,                0.82517,                    0.6,                0.66333,                0.57047,                0.48222,                 3.5749,                0.85167,             0.00059525,             0.00059525,             0.00059525
                      4,                 1.0666,                 1.7571,                 1.1398,                0.72072,                    0.8,                 0.8955,                  0.796,                0.54622,                 2.1897,                 0.9386,             0.00058787,             0.00058787,             0.00058787
                      5,                  1.066,                 1.9374,                 1.1285,                0.64542,                    0.8,                  0.995,                 0.8557,                0.69377,                 1.5528,                0.97833,             0.00058787,             0.00058787,             0.00058787
                      6,                0.98338,                 1.6448,                 1.0988,                 0.6579,                    0.8,                 0.8955,                0.76615,                 0.7445,                 1.8508,                 1.0347,              0.0005755,              0.0005755,              0.0005755
                      7,                0.99402,                 1.5169,                 1.1179,                0.73509,                    0.8,                  0.995,                 0.8159,                0.67387,                 1.3655,                0.95156,             0.00056313,             0.00056313,             0.00056313
                      8,                 0.9565,                 1.4283,                 1.0947,                0.65397,                    0.8,                  0.995,                 0.8557,                0.65384,                 1.2984,                0.97064,             0.00055075,             0.00055075,             0.00055075
                      9,                0.97734,                  1.406,                 1.1213,                0.52292,                    0.8,                 0.8955,                0.82585,                0.49051,                 1.9024,                0.90822,             0.00053838,             0.00053838,             0.00053838
                     10,                 0.9381,                 1.3065,                 1.0866,                0.73938,                      1,                  0.995,                 0.8557,                0.48425,                 1.2918,                0.87424,               0.000526,               0.000526,               0.000526
                     11,                0.91806,                 1.1879,                 1.0827,                0.72928,                    0.8,                  0.995,                 0.9353,                0.45283,                 1.2362,                0.86045,             0.00051363,             0.00051363,             0.00051363
                     12,                0.93745,                 1.2184,                 1.0854,                 0.5095,                      1,                  0.995,                 0.8756,                0.55926,                 1.2007,                0.90878,             0.00050125,             0.00050125,             0.00050125
                     13,                0.91456,                  1.079,                 1.0722,                0.79563,                    0.8,                  0.995,                 0.8756,                0.50285,                 1.2023,                0.85415,             0.00048888,             0.00048888,             0.00048888
                     14,                0.92562,                 1.1093,                 1.0952,                0.48382,                      1,                  0.995,                 0.8955,                0.45517,                 1.0231,                0.86669,              0.0004765,              0.0004765,              0.0004765
                     15,                0.90354,                 1.0552,                 1.0685,                0.60345,                      1,                 0.8955,                  0.796,                0.55559,                0.84839,                0.89144,             0.00046413,             0.00046413,             0.00046413
                     16,                0.86072,                 1.0218,                 1.0752,                0.63539,                      1,                 0.8955,                0.88555,                0.39486,                 1.0252,                0.84679,             0.00045175,             0.00045175,             0.00045175
