                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                0.90597,                 1.0456,                 1.0997,                 0.6006,                      1,                  0.995,                 0.8358,                0.51581,                 1.1952,                0.93501,             0.00043937,             0.00043937,             0.00043937
                     18,                0.85423,                0.99733,                  1.062,                0.59311,                      1,                  0.995,                 0.8955,                0.48639,                 1.1604,                0.93401,               0.000427,               0.000427,               0.000427
                     19,                0.83207,                0.88811,                 1.0413,                0.59232,                      1,                  0.995,                 0.8756,                 0.5583,                 1.0974,                0.93193,             0.00041462,             0.00041462,             0.00041462
                     20,                0.80539,                0.81639,                 1.0013,                0.64187,                      1,                  0.995,                 0.8955,                 0.4442,                0.87808,                0.86351,             0.00040225,             0.00040225,             0.00040225
                     21,                0.94361,                0.92987,                 1.1155,                0.84196,                      1,                  0.995,                 0.9154,                0.41373,                0.57415,                0.86163,             0.00038988,             0.00038988,             0.00038988
                     22,                0.82752,                0.88875,                  1.029,                0.79212,                    0.8,                  0.995,                 0.8955,                0.51619,                   1.17,                0.89003,              0.0003775,              0.0003775,              0.0003775
                     23,                0.80489,                0.86967,                 1.0174,                0.59925,                      1,                  0.995,                 0.9552,                0.37847,                0.72347,                0.83372,             0.00036513,             0.00036513,             0.00036513
                     24,                0.79466,                0.81201,                  1.021,                0.67344,                      1,                  0.995,                 0.9353,                0.43243,                 0.9162,                0.84724,             0.00035275,             0.00035275,             0.00035275
                     25,                0.82159,                0.84377,                 1.0665,                 0.6225,                      1,                  0.995,                 0.9154,                0.40618,                0.57742,                 0.8368,             0.00034038,             0.00034038,             0.00034038
                     26,                0.80898,                0.78432,                 1.0282,                 0.6613,                      1,                  0.995,                 0.9751,                0.37751,                0.71856,                0.82606,               0.000328,               0.000328,               0.000328
                     27,                 0.7899,                0.74882,                 1.0328,                 0.7792,                      1,                  0.995,                 0.8955,                0.59743,                0.54505,                0.93946,             0.00031562,             0.00031562,             0.00031562
                     28,                0.78683,                0.70362,                  1.012,                0.62203,                      1,                  0.995,                 0.9552,                0.44576,                0.83024,                 0.8516,             0.00030325,             0.00030325,             0.00030325
                     29,                0.75826,                0.72922,                      1,                0.69251,                      1,                  0.995,                 0.8955,                0.55709,                0.55382,                0.88223,             0.00029088,             0.00029088,             0.00029088
                     30,                0.76503,                0.63933,                 1.0048,                0.70678,                      1,                  0.995,                 0.9552,                0.38202,                0.52048,                0.83924,              0.0002785,              0.0002785,              0.0002785
                     31,                0.74796,                0.67946,                0.99751,                0.85398,                      1,                  0.995,                 0.9552,                 0.4064,                0.40283,                0.83712,             0.00026613,             0.00026613,             0.00026613
                     32,                0.72068,                0.62998,                0.98083,                0.85672,                      1,                  0.995,                 0.9552,                0.38917,                0.41571,                0.84096,             0.00025375,             0.00025375,             0.00025375
                     33,                0.70361,                0.59186,                0.97152,                0.87489,                      1,                  0.995,                 0.9154,                0.46613,                0.45191,                0.86768,             0.00024137,             0.00024137,             0.00024137
                     34,                0.73411,                0.65543,                  1.008,                0.70734,                      1,                  0.995,                 0.9353,                0.45056,                0.56052,                0.89078,               0.000229,               0.000229,               0.000229
                     35,                 0.7557,                0.61386,                 1.0239,                0.85987,                      1,                  0.995,                 0.8955,                 0.5479,                 0.3616,                0.91633,             0.00021662,             0.00021662,             0.00021662
                     36,                 0.7864,                0.60803,                 1.0425,                 0.9075,                      1,                  0.995,                 0.9552,                0.34944,                0.37436,                0.83754,             0.00020425,             0.00020425,             0.00020425
                     37,                0.74041,                0.58514,                 1.0449,                0.92957,                      1,                  0.995,                 0.9751,                0.35478,                0.34095,                0.81628,             0.00019188,             0.00019188,             0.00019188
                     38,                0.69172,                 0.5488,                0.98532,                0.92616,                      1,                  0.995,                 0.9552,                0.32818,                0.29283,                0.80441,              0.0001795,              0.0001795,              0.0001795
                     39,                 0.7085,                0.56973,                  1.005,                0.84428,                      1,                  0.995,                 0.9353,                 0.3855,                0.33814,                0.81465,             0.00016713,             0.00016713,             0.00016713
                     40,                0.65858,                0.51149,                0.97957,                0.68454,                      1,                  0.995,                 0.9552,                0.34366,                0.50622,                 0.8212,             0.00015475,             0.00015475,             0.00015475
                     41,                0.61314,                0.39688,                0.94178,                0.95587,                      1,                  0.995,                 0.9552,                0.44807,                0.34737,                0.85825,             0.00014237,             0.00014237,             0.00014237
                     42,                0.59836,                0.38768,                0.95714,                0.97719,                      1,                  0.995,                 0.9154,                0.40109,                0.26291,                0.84284,                0.00013,                0.00013,                0.00013
                     43,                0.59477,                0.37069,                0.93753,                0.96378,                      1,                  0.995,                 0.9154,                0.39558,                0.26661,                0.84442,             0.00011763,             0.00011763,             0.00011763
                     44,                0.60161,                0.37891,                0.96036,                0.91392,                      1,                  0.995,                 0.9353,                0.42739,                0.29334,                0.86837,             0.00010525,             0.00010525,             0.00010525
                     45,                0.56571,                0.37045,                0.92355,                0.94357,                      1,                  0.995,                 0.9552,                0.36928,                 0.2614,                0.83259,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.57524,                0.36478,                0.92481,                0.92637,                      1,                  0.995,                 0.9751,                0.33267,                 0.2338,                 0.8114,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.56179,                0.34275,                0.92237,                0.95597,                      1,                  0.995,                 0.9552,                0.36682,                0.24595,                0.82987,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.56144,                0.35186,                0.91285,                0.95538,                      1,                  0.995,                 0.9154,                0.36772,                0.24317,                0.82988,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.54773,                0.33702,                0.92162,                0.93008,                      1,                  0.995,                 0.9353,                0.35585,                0.24157,                0.82645,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     50,                 0.5407,                0.32658,                0.90923,                0.92867,                      1,                  0.995,                 0.9353,                0.37001,                0.24778,                0.82996,                3.1e-05,                3.1e-05,                3.1e-05
