                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80355,                0.64707,                 1.0028,                0.85435,                      1,                  0.995,                 0.8955,                0.53775,                0.52544,                0.91021,             0.00020425,             0.00020425,             0.00020425
                     37,                0.75864,                0.57447,                 1.0123,                0.83846,                      1,                  0.995,                 0.9154,                 0.5088,                0.47584,                0.90741,             0.00019188,             0.00019188,             0.00019188
                     38,                 0.7295,                0.57912,                0.96597,                 0.7449,                      1,                  0.995,                 0.9353,                0.45647,                0.44617,                0.89344,              0.0001795,              0.0001795,              0.0001795
                     39,                0.73331,                0.56871,                0.98161,                0.83554,                      1,                  0.995,                 0.9353,                0.40972,                0.51117,                0.87254,             0.00016713,             0.00016713,             0.00016713
                     40,                0.69608,                0.54225,                0.97115,                0.60126,                      1,                  0.995,                 0.8955,                0.46186,                0.74967,                 0.8665,             0.00015475,             0.00015475,             0.00015475
                     41,                0.64932,                0.43025,                0.93652,                0.56664,                      1,                  0.995,                 0.9154,                0.45465,                0.71843,                0.85287,             0.00014237,             0.00014237,             0.00014237
                     42,                0.65601,                 0.4282,                 0.9448,                0.65878,                      1,                  0.995,                 0.9353,                 0.4718,                0.62802,                0.87411,                0.00013,                0.00013,                0.00013
                     43,                0.62464,                0.40795,                0.93631,                0.62991,                      1,                  0.995,                 0.9154,                0.49871,                0.55587,                 0.8718,             0.00011763,             0.00011763,             0.00011763
                     44,                0.65226,                0.38877,                0.96446,                0.82001,                      1,                  0.995,                 0.8955,                0.49471,                0.47735,                0.88685,             0.00010525,             0.00010525,             0.00010525
                     45,                0.59603,                  0.373,                0.92177,                0.94824,                      1,                  0.995,                 0.8955,                0.50762,                0.43273,                0.93494,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.59004,                0.38498,                0.91136,                0.92537,                      1,                  0.995,                 0.9154,                 0.4348,                0.41227,                0.88052,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.59392,                0.38924,                0.92155,                0.91007,                      1,                  0.995,                 0.9154,                0.43389,                0.41861,                0.87226,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.61799,                 0.3722,                0.91025,                 0.8726,                      1,                  0.995,                 0.9353,                0.45126,                0.40247,                0.88027,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                  0.587,                0.35806,                0.91553,                0.92197,                      1,                  0.995,                 0.9353,                0.44165,                0.41085,                0.87612,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     50,                0.57321,                0.35418,                0.89937,                0.92173,                      1,                  0.995,                 0.9353,                0.41981,                0.41229,                0.87105,                3.1e-05,                3.1e-05,                3.1e-05
