                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0385,                 6.2442,                 1.0974,                0.01347,                      1,                0.45438,                0.41458,                0.46783,                 5.7306,                0.88921,              0.0001375,              0.0001375,              0.0001375
                      2,                 1.0493,                 5.3097,                 1.1583,                0.02118,                      1,                0.38805,                0.35322,                  0.652,                 5.8753,                0.99823,             0.00027568,             0.00027568,             0.00027568
                      3,                0.97991,                 5.0168,                 1.1282,                0.01423,                      1,                0.50413,                0.45969,                 0.5455,                 5.6011,                0.89634,             0.00040817,             0.00040817,             0.00040817
                      4,                  1.134,                 4.7556,                 1.1535,                0.69999,                0.19998,                0.74625,                0.68157,                0.49188,                 5.3148,                0.86372,             0.00053497,             0.00053497,             0.00053497
                      5,                 1.0373,                 4.0424,                 1.1363,                0.57847,                    0.8,                  0.796,                 0.6965,                0.65309,                 4.7673,                0.91491,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.0738,                 4.1142,                 1.1335,                0.69984,                    0.6,                 0.8955,                0.82585,                0.51863,                  4.945,                0.90479,              0.0005755,              0.0005755,              0.0005755
                      7,                0.99216,                 3.8535,                 1.1159,                 0.8882,                    0.4,                 0.8955,                0.84575,                0.45447,                 4.4492,                0.84477,             0.00056313,             0.00056313,             0.00056313
                      8,                 1.0452,                 3.6515,                 1.1389,                 0.5107,                0.76274,                 0.8955,                0.84575,                0.40733,                 4.7831,                0.84068,             0.00055075,             0.00055075,             0.00055075
                      9,                 1.0046,                 3.6614,                 1.1105,                0.64271,                0.78045,                  0.796,                 0.7363,                0.47996,                 4.5681,                0.87319,             0.00053838,             0.00053838,             0.00053838
                     10,                0.95222,                 4.1258,                 1.0415,                0.55167,                    0.8,                  0.995,                 0.9154,                0.47599,                 4.0392,                0.83623,               0.000526,               0.000526,               0.000526
                     11,                 1.0566,                  3.724,                 1.1725,                0.70355,                    0.6,                0.76283,                 0.6965,                 0.5872,                 3.9356,                 1.0208,             0.00051363,             0.00051363,             0.00051363
                     12,                 1.0701,                 3.6081,                 1.1363,                0.51731,                    0.8,                 0.6965,                  0.597,                0.58107,                 4.0776,                0.87338,             0.00050125,             0.00050125,             0.00050125
                     13,                0.91435,                   3.52,                  1.067,                0.48637,                      1,                 0.8955,                0.76615,                0.61844,                 3.9897,                0.86055,             0.00048888,             0.00048888,             0.00048888
                     14,                 1.0143,                  3.343,                 1.0882,                0.53154,                      1,                 0.8955,                0.76615,                0.64924,                 3.6662,                0.86054,              0.0004765,              0.0004765,              0.0004765
                     15,                0.99606,                 3.2303,                 1.0845,                 0.5629,                    0.8,                 0.8955,                  0.796,                0.62727,                 3.7893,                0.87101,             0.00046413,             0.00046413,             0.00046413
                     16,                 1.0135,                 3.3084,                 1.1314,                0.50461,                      1,                 0.8955,                0.78605,                0.56918,                 3.8892,                0.86104,             0.00045175,             0.00045175,             0.00045175
                     17,                0.94732,                 2.9498,                 1.0841,                0.55978,                      1,                 0.8955,                0.76615,                0.63239,                 3.5294,                0.87849,             0.00043937,             0.00043937,             0.00043937
                     18,                0.92919,                 3.0286,                 1.0861,                0.62874,                    0.8,                  0.995,                0.81874,                 0.6787,                 4.0106,                0.90095,               0.000427,               0.000427,               0.000427
                     19,                0.90608,                 2.9765,                 1.0751,                0.71769,                    0.8,                  0.995,                 0.8756,                0.60077,                 3.4393,                0.86115,             0.00041462,             0.00041462,             0.00041462
                     20,                0.91238,                 3.0293,                 1.1116,                0.71158,                    0.8,                  0.995,                 0.8756,                0.56261,                  3.407,                0.84397,             0.00040225,             0.00040225,             0.00040225
                     21,                0.90332,                 2.8333,                 1.0781,                0.73498,                    0.8,                 0.8955,                0.78605,                0.66134,                 3.2817,                0.86067,             0.00038988,             0.00038988,             0.00038988
                     22,                0.92073,                 2.9663,                  1.055,                0.82156,                    0.8,                  0.995,                 0.8557,                0.73096,                 3.1468,                0.92213,              0.0003775,              0.0003775,              0.0003775
                     23,                0.96762,                 2.7724,                 1.1006,                0.52579,                      1,                  0.995,                 0.8557,                0.69369,                 3.2358,                0.92772,             0.00036513,             0.00036513,             0.00036513
                     24,                0.84952,                 2.8411,                 1.0465,                0.69101,                    0.8,                  0.995,                 0.9751,                0.33963,                 3.4436,                0.78764,             0.00035275,             0.00035275,             0.00035275
                     25,                0.84947,                 2.6709,                 1.0453,                0.55611,                      1,                  0.995,                 0.9353,                0.39569,                 3.0688,                0.80198,             0.00034038,             0.00034038,             0.00034038
                     26,                0.89674,                 2.4949,                 1.0739,                0.57307,                      1,                  0.995,                 0.9154,                0.43853,                 3.0606,                0.81136,               0.000328,               0.000328,               0.000328
                     27,                0.81409,                 2.2525,                0.96831,                0.53847,                      1,                  0.995,                 0.9552,                0.40764,                 3.1129,                0.81742,             0.00031562,             0.00031562,             0.00031562
                     28,                0.80734,                 2.3439,                  1.009,                0.52317,                      1,                  0.995,                 0.9154,                0.46976,                 2.9909,                0.82007,             0.00030325,             0.00030325,             0.00030325
                     29,                 0.8395,                 2.4651,                 1.0177,                0.54479,                      1,                  0.995,                 0.9353,                0.40021,                 2.9554,                0.80358,             0.00029088,             0.00029088,             0.00029088
                     30,                0.87139,                 2.3734,                 1.0414,                0.81216,                    0.8,                  0.995,                 0.9353,                0.40093,                 2.9405,                0.79972,              0.0002785,              0.0002785,              0.0002785
                     31,                0.88235,                 2.2817,                 1.0384,                0.83839,                    0.8,                  0.995,                 0.9353,                0.47403,                 2.9256,                0.82258,             0.00026613,             0.00026613,             0.00026613
                     32,                0.75828,                 2.1521,                0.98205,                0.56348,                      1,                  0.995,                 0.8756,                0.58619,                 2.9433,                0.89902,             0.00025375,             0.00025375,             0.00025375
                     33,                0.78178,                 2.1578,                 1.0244,                 0.5717,                      1,                  0.995,                 0.8955,                0.52201,                 2.9349,                0.89714,             0.00024137,             0.00024137,             0.00024137
                     34,                0.83216,                 2.0808,                 1.0036,                0.62097,                    0.8,                  0.995,                 0.9154,                 0.4943,                 3.0601,                0.89453,               0.000229,               0.000229,               0.000229
                     35,                0.81177,                  2.054,                 1.0032,                 0.6415,                    0.8,                  0.995,                 0.8756,                0.62669,                 2.9923,                0.91346,             0.00021662,             0.00021662,             0.00021662
                     36,                0.80018,                 2.0312,                 1.0022,                0.56638,                      1,                  0.995,                 0.9154,                0.50932,                  2.809,                0.86486,             0.00020425,             0.00020425,             0.00020425
                     37,                0.78983,                 1.9944,                0.99446,                0.67017,                      1,                  0.995,                 0.8955,                0.52918,                 2.7139,                0.86628,             0.00019188,             0.00019188,             0.00019188
                     38,                0.77623,                 1.9199,                  1.025,                0.68679,                      1,                  0.995,                 0.9154,                 0.5309,                 2.6949,                0.84713,              0.0001795,              0.0001795,              0.0001795
                     39,                0.75779,                 2.0313,                0.99078,                0.68521,                      1,                  0.995,                 0.9154,                0.49031,                 2.6368,                0.81486,             0.00016713,             0.00016713,             0.00016713
                     40,                0.76529,                 1.9655,                0.99108,                0.66346,                      1,                  0.995,                 0.9154,                0.51032,                  2.645,                0.82174,             0.00015475,             0.00015475,             0.00015475
                     41,                 0.7549,                 2.3582,                 1.0249,                0.60186,                      1,                  0.995,                 0.9552,                0.45578,                 2.6366,                0.85336,             0.00014237,             0.00014237,             0.00014237
                     42,                0.68337,                 2.2521,                0.96787,                0.60669,                      1,                  0.995,                 0.9154,                0.50437,                  2.577,                0.88454,                0.00013,                0.00013,                0.00013
                     43,                0.69106,                 2.2668,                0.97113,                0.65947,                      1,                  0.995,                 0.8955,                0.49914,                 2.4668,                0.83246,             0.00011763,             0.00011763,             0.00011763
                     44,                0.66602,                  2.179,                0.96454,                0.69661,                      1,                  0.995,                 0.9353,                0.47677,                 2.4534,                0.83318,             0.00010525,             0.00010525,             0.00010525
                     45,                 0.6443,                 2.1644,                0.96651,                0.70057,                      1,                  0.995,                 0.9154,                0.47667,                 2.3946,                0.85262,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.64965,                 2.1669,                0.99737,                0.71666,                      1,                  0.995,                 0.8955,                0.49793,                 2.3935,                0.85727,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.65355,                 2.0948,                 0.9293,                0.77709,                      1,                  0.995,                 0.9154,                0.50828,                  2.376,                0.83772,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.63694,                 2.1072,                0.97183,                0.81138,                      1,                  0.995,                 0.9353,                0.43934,                 2.3357,                0.80219,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.64641,                 2.0667,                0.94366,                0.81589,                      1,                  0.995,                 0.9353,                0.40126,                  2.285,                0.79413,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     50,                0.61506,                  2.072,                0.95655,                0.81622,                      1,                  0.995,                 0.9353,                0.38918,                 2.2526,                0.79093,                3.1e-05,                3.1e-05,                3.1e-05
